,totSellamnt,returnValue,drwNoDate,firstWinamnt,drwtNo6,drwtNo4,firstPrzwnerCo,drwtNo5,bnusNo,firstAccumamnt,drwNo,drwtNo2,drwtNo3,drwtNo1
0,3681782000.0,success,2002-12-07,0.0,40.0,33.0,0.0,37.0,16.0,863604600.0,1.0,23.0,29.0,10.0
0,4904274000.0,success,2002-12-14,2002006800.0,42.0,25.0,1.0,32.0,2.0,0.0,2.0,13.0,21.0,9.0
0,4729342000.0,success,2002-12-21,2000000000.0,31.0,21.0,1.0,27.0,30.0,0.0,3.0,16.0,19.0,11.0
0,5271464000.0,success,2002-12-28,0.0,42.0,31.0,0.0,40.0,2.0,1267147200.0,4.0,27.0,30.0,14.0
0,6277102000.0,success,2003-01-04,0.0,42.0,40.0,0.0,41.0,3.0,3041094900.0,5.0,24.0,29.0,16.0
0,15305356000.0,success,2003-01-11,6574451700.0,42.0,27.0,1.0,40.0,34.0,0.0,6.0,15.0,26.0,14.0
0,12794890000.0,success,2003-01-18,0.0,40.0,25.0,0.0,26.0,42.0,2600913000.0,7.0,9.0,16.0,2.0
0,20751450000.0,success,2003-01-25,0.0,39.0,34.0,0.0,37.0,9.0,7336896000.0,8.0,19.0,25.0,8.0
0,73624020000.0,success,2003-02-01,0.0,39.0,17.0,0.0,36.0,14.0,25803852000.0,9.0,4.0,16.0,2.0
0,260856392000.0,success,2003-02-08,6430437900.0,44.0,33.0,13.0,41.0,6.0,0.0,10.0,25.0,30.0,9.0
0,91925306000.0,success,2003-02-15,4780152300.0,42.0,37.0,5.0,41.0,14.0,0.0,11.0,7.0,36.0,1.0
0,76255508000.0,success,2003-02-22,1348845700.0,45.0,25.0,12.0,39.0,44.0,0.0,12.0,11.0,21.0,2.0
0,66532136000.0,success,2003-03-01,0.0,42.0,37.0,0.0,38.0,26.0,15599134800.0,13.0,23.0,25.0,22.0
0,99838648000.0,success,2003-03-08,9375048300.0,40.0,31.0,4.0,33.0,15.0,0.0,14.0,6.0,12.0,2.0
0,73264910000.0,success,2003-03-15,17014245000.0,37.0,30.0,1.0,31.0,13.0,0.0,15.0,4.0,16.0,3.0
0,75777348000.0,success,2003-03-22,4377146100.0,40.0,37.0,4.0,38.0,33.0,0.0,16.0,7.0,24.0,6.0
0,72718152000.0,success,2003-03-29,5349491200.0,37.0,17.0,3.0,32.0,1.0,0.0,17.0,4.0,9.0,3.0
0,66371660000.0,success,2003-04-05,0.0,35.0,19.0,0.0,32.0,29.0,15751560000.0,18.0,12.0,13.0,3.0
0,105957818000.0,success,2003-04-12,40722959400.0,43.0,39.0,1.0,40.0,26.0,0.0,19.0,30.0,38.0,6.0
